CropID,FarmerID,CropType,Variety,PlantingDate,ExpectedHarvestDate,ActualHarvestDate,AreaPlanted
1,1,Maize,Red Russian Kale,2024/09/05 00:00:00,2025/01/05 00:00:00,2025/01/04 00:00:00,4;33
2,1,Wheat,Tomato Money Maker,2023/05/08 00:00:00,2023/09/08 00:00:00,2023/09/06 00:00:00,5;69
3,1,Sorghum,California Wonder (Green Pepper),2023/09/14 00:00:00,2024/01/14 00:00:00,2024/01/12 00:00:00,4;24
4,1,Sunflower,Gem Squash Star 6001,2024/01/04 00:00:00,2024/05/04 00:00:00,2024/05/03 00:00:00,1;53
5,1,Sunflower,California Wonder (Green Pepper),2023/12/22 00:00:00,2024/04/22 00:00:00,2024/04/25 00:00:00,5;38
6,1,Sunflower,Hybrid Maize SC719,2023/08/11 00:00:00,2023/12/11 00:00:00,2023/12/10 00:00:00,2;86
7,1,Sunflower,Kikuyu Grass,2024/11/15 00:00:00,2025/03/15 00:00:00,2025/03/15 00:00:00,1;17
8,1,Sunflower,Carrot Kuroda,2023/07/25 00:00:00,2023/11/25 00:00:00,2023/11/29 00:00:00,1;80
9,1,Maize,Hybrid Maize SC719,2024/01/09 00:00:00,2024/05/09 00:00:00,2024/05/12 00:00:00,2;97
10,1,Sunflower,Texas Grano Onion,2023/06/14 00:00:00,2023/10/14 00:00:00,2023/10/09 00:00:00,4;52
11,2,Sorghum,Spinach Fordhook Giant,2023/02/22 00:00:00,2023/06/22 00:00:00,2023/06/21 00:00:00,3;76
12,2,Wheat,Red Russian Kale,2023/08/03 00:00:00,2023/12/03 00:00:00,2023/11/29 00:00:00,4;45
13,2,Sunflower,Red Russian Kale,2023/11/01 00:00:00,2024/03/01 00:00:00,2024/03/06 00:00:00,4;21
14,2,Sunflower,Greenfeast Peas,2024/01/18 00:00:00,2024/05/18 00:00:00,2024/05/27 00:00:00,3;72
15,2,Sorghum,Kikuyu Grass,2023/01/26 00:00:00,2023/05/26 00:00:00,2023/05/25 00:00:00,2;34
16,2,Sorghum,Tomato Money Maker,2023/02/12 00:00:00,2023/06/12 00:00:00,2023/06/16 00:00:00,3;56
17,2,Maize,Beauregard Sweet Potato,2023/03/19 00:00:00,2023/07/19 00:00:00,2023/07/24 00:00:00,1;10
