FarmID,FarmerID,Name,Location,SizeHectares,SoilType
1,1,Ayanda's Farm 1,North West,19;14,Loamy
2,1,Ayanda's Farm 2,North West,23;15,Clay Loam
3,2,Dineo's Farm 1,Western Cape,26;16,Alluvial Soil
4,2,Dineo's Farm 2,Western Cape,24;11,Black Cotton Soil
5,3,Tshepo's Farm 1,Eastern Cape,31;58,Clay Loam
6,3,Tshepo's Farm 2,Eastern Cape,35;26,Clay Loam
7,4,Sibusiso's Farm 1,Eastern Cape,10;28,Loamy
8,4,Sibusiso's Farm 2,Eastern Cape,10;94,Clay Loam
9,5,Thabo's Farm 1,Gauteng,16;53,Red Loam
10,5,Thabo's Farm 2,Gauteng,21;41,Alluvial Soil
11,6,Sibusiso's Farm 1,Gauteng,45;35,Clay Loam
12,6,Sibusiso's Farm 2,Gauteng,31;41,Silty Clay
13,7,Thabo's Farm 1,Mpumalanga,47;69,Silty Clay
14,7,Thabo's Farm 2,Mpumalanga,47;32,Clay Loam
15,8,Nomsa's Farm 1,Mpumalanga,21;11,Clay Loam
16,8,Nomsa's Farm 2,Mpumalanga,47;86,Loamy
17,9,Lerato's Farm 1,Western Cape,12;41,Silty Clay
18,9,Lerato's Farm 2,Western Cape,49;04,Loamy
19,10,Dineo's Farm 1,North West,15;27,Black Cotton Soil
20,10,Dineo's Farm 2,North West,20;67,Clay Loam
21,11,Tshepo's Farm 1,North West,14;93,Alluvial Soil
22,11,Tshepo's Farm 2,North West,41;85,Red Loam
23,12,Tshepo's Farm 1,Northern Cape,19;14,Silty Clay
24,12,Tshepo's Farm 2,Northern Cape,42;22,Silty Clay
25,13,Kagiso's Farm 1,Northern Cape,10;44,Black Cotton Soil
26,13,Kagiso's Farm 2,Northern Cape,46;7,Black Cotton Soil
27,14,Nomsa's Farm 1,Western Cape,40;55,Black Cotton Soil
28,14,Nomsa's Farm 2,Western Cape,46;22,Alluvial Soil
29,15,Sipho's Farm 1,Free State,34;35,Alluvial Soil
30,15,Sipho's Farm 2,Free State,19;68,Alluvial Soil
31,16,Sipho's Farm 1,Gauteng,11;7,Loamy
32,16,Sipho's Farm 2,Gauteng,23;53,Clay Loam
33,17,Lerato's Farm 1,Free State,19;77,Black Cotton Soil
34,17,Lerato's Farm 2,Free State,19;09,Black Cotton Soil
35,18,Kagiso's Farm 1,Limpopo,17,Alluvial Soil
36,18,Kagiso's Farm 2,Limpopo,13;84,Black Cotton Soil
37,19,Kagiso's Farm 1,Western Cape,31;44,Loamy
38,19,Kagiso's Farm 2,Western Cape,44;28,Alluvial Soil
39,20,Nomsa's Farm 1,Mpumalanga,29;5,Red Loam
40,20,Nomsa's Farm 2,Mpumalanga,19;54,Silty Clay
41,21,Nomsa's Farm 1,KZN,35;09,Silty Clay
42,21,Nomsa's Farm 2,KZN,20;07,Red Loam
43,22,Sibusiso's Farm 1,Eastern Cape,26;58,Clay Loam
44,22,Sibusiso's Farm 2,Eastern Cape,22;79,Silty Clay
45,23,Buhle's Farm 1,North West,29;38,Loamy
46,23,Buhle's Farm 2,North West,27;03,Clay Loam
47,24,Nomsa's Farm 1,Free State,23;02,Clay Loam
48,24,Nomsa's Farm 2,Free State,15;97,Loamy
49,25,Thabo's Farm 1,Eastern Cape,34;38,Black Cotton Soil
50,25,Thabo's Farm 2,Eastern Cape,29;34,Red Loam
51,26,Sipho's Farm 1,Northern Cape,20;08,Clay Loam
52,26,Sipho's Farm 2,Northern Cape,22;51,Loamy
53,27,Sibusiso's Farm 1,KZN,28;98,Clay Loam
54,27,Sibusiso's Farm 2,KZN,13;21,Red Loam
55,28,Sibusiso's Farm 1,KZN,40;49,Alluvial Soil
56,28,Sibusiso's Farm 2,KZN,28;29,Red Loam
57,29,Buhle's Farm 1,Eastern Cape,34;94,Red Loam
58,29,Buhle's Farm 2,Eastern Cape,23;76,Black Cotton Soil
59,30,Kagiso's Farm 1,Mpumalanga,43;52,Black Cotton Soil
60,30,Kagiso's Farm 2,Mpumalanga,41;73,Alluvial Soil
61,31,Kagiso's Farm 1,Mpumalanga,19;12,Red Loam
62,31,Kagiso's Farm 2,Mpumalanga,15;31,Loamy
63,32,Lerato's Farm 1,Free State,32;53,Red Loam
64,32,Lerato's Farm 2,Free State,20;81,Clay Loam
65,33,Nomsa's Farm 1,Mpumalanga,47;77,Red Loam
66,33,Nomsa's Farm 2,Mpumalanga,23;06,Alluvial Soil
67,34,Tshepo's Farm 1,Northern Cape,22;96,Black Cotton Soil
68,34,Tshepo's Farm 2,Northern Cape,18;44,Silty Clay
69,35,Buhle's Farm 1,Mpumalanga,15;3,Clay Loam
70,35,Buhle's Farm 2,Mpumalanga,19;32,Loamy
71,36,Tshepo's Farm 1,North West,19;99,Black Cotton Soil
72,36,Tshepo's Farm 2,North West,37;15,Black Cotton Soil
73,37,Sipho's Farm 1,Free State,32;96,Black Cotton Soil
74,37,Sipho's Farm 2,Free State,35;86,Black Cotton Soil
75,38,Ayanda's Farm 1,Free State,48;07,Black Cotton Soil
76,38,Ayanda's Farm 2,Free State,17;81,Alluvial Soil
77,39,Nomsa's Farm 1,Limpopo,41;82,Black Cotton Soil
78,39,Nomsa's Farm 2,Limpopo,28;11,Silty Clay
79,40,Sipho's Farm 1,Northern Cape,12;22,Clay Loam
80,40,Sipho's Farm 2,Northern Cape,28;35,Black Cotton Soil
81,41,Buhle's Farm 1,Gauteng,12;06,Alluvial Soil
82,41,Buhle's Farm 2,Gauteng,39;04,Alluvial Soil
83,42,Nomsa's Farm 1,Limpopo,35;72,Black Cotton Soil
84,42,Nomsa's Farm 2,Limpopo,29;1,Loamy
85,43,Tshepo's Farm 1,Northern Cape,32;72,Alluvial Soil
86,43,Tshepo's Farm 2,Northern Cape,28;59,Black Cotton Soil
87,44,Dineo's Farm 1,Western Cape,25;92,Red Loam
88,44,Dineo's Farm 2,Western Cape,36;57,Black Cotton Soil
89,45,Sibusiso's Farm 1,Mpumalanga,14;3,Black Cotton Soil
90,45,Sibusiso's Farm 2,Mpumalanga,32;8,Alluvial Soil
91,46,Tshepo's Farm 1,Eastern Cape,17;19,Red Loam
92,46,Tshepo's Farm 2,Eastern Cape,21;54,Silty Clay
93,47,Thabo's Farm 1,Western Cape,35;13,Silty Clay
94,47,Thabo's Farm 2,Western Cape,14;14,Red Loam
95,48,Sibusiso's Farm 1,Northern Cape,14;2,Red Loam
96,48,Sibusiso's Farm 2,Northern Cape,25;34,Alluvial Soil
97,49,Tshepo's Farm 1,Northern Cape,40;83,Black Cotton Soil
98,49,Tshepo's Farm 2,Northern Cape,11;66,Silty Clay
