FeedingLogID,LivestockID,FeedType,QuantityKg,FedOn
1,1,Maize,6;18,2023/04/12 00:00:00
2,1,Maize,13;94,2023/08/02 00:00:00
3,1,Silage,9;60,2023/01/28 00:00:00
4,1,Maize,13;66,2022/12/19 00:00:00
5,1,Maize,6;33,2023/08/27 00:00:00
6,2,Lucerne,11;91,2022/04/18 00:00:00
7,2,Maize,12;97,2022/11/21 00:00:00
8,2,Lucerne,13;27,2022/11/25 00:00:00
9,2,Maize,6;52,2023/02/19 00:00:00
10,2,Silage,12;37,2022/04/22 00:00:00
11,3,Silage,12;61,2023/11/29 00:00:00
12,3,Lucerne,11;28,2024/01/21 00:00:00
13,3,Maize,11;51,2023/12/24 00:00:00
14,3,Silage,7;81,2024/04/24 00:00:00
15,3,Silage,13;94,2023/10/29 00:00:00
16,4,Lucerne,10;56,2022/04/29 00:00:00
17,4,Grass,8;00,2022/05/09 00:00:00
18,4,Grass,7;14,2023/01/10 00:00:00
19,4,Lucerne,11;58,2022/07/12 00:00:00
20,4,Maize,13;47,2023/04/26 00:00:00
21,5,Maize,6;17,2024/07/19 00:00:00
22,5,Maize,7;56,2023/06/19 00:00:00
23,5,Maize,12;18,2024/03/02 00:00:00
24,5,Grass,7;76,2023/05/09 00:00:00
25,5,Lucerne,6;63,2024/03/09 00:00:00
26,6,Grass,11;42,2024/10/13 00:00:00
27,6,Silage,12;49,2024/03/12 00:00:00
28,6,Maize,7;95,2023/12/01 00:00:00
29,6,Grass,7;22,2024/02/10 00:00:00
30,6,Lucerne,6;56,2024/11/06 00:00:00
31,7,Grass,5;60,2024/04/27 00:00:00
32,7,Maize,13;41,2023/03/15 00:00:00
33,7,Lucerne,10;90,2024/01/12 00:00:00
34,7,Silage,7;45,2024/05/19 00:00:00
35,7,Maize,5;46,2022/12/14 00:00:00
36,8,Grass,6;43,2021/06/16 00:00:00
37,8,Grass,12;02,2021/05/25 00:00:00
38,8,Silage,6;09,2021/07/16 00:00:00
39,8,Grass,13;29,2022/10/22 00:00:00
40,8,Silage,10;00,2021/06/05 00:00:00
41,9,Maize,13;68,2024/01/07 00:00:00
42,9,Maize,13;07,2023/05/31 00:00:00
43,9,Grass,7;67,2023/08/07 00:00:00
44,9,Silage,7;07,2023/02/14 00:00:00
45,9,Silage,6;52,2023/12/01 00:00:00
46,10,Lucerne,5;61,2020/11/06 00:00:00
47,10,Silage,5;90,2020/07/20 00:00:00
48,10,Silage,12;76,2021/03/17 00:00:00
49,10,Lucerne,13;45,2022/01/29 00:00:00
50,10,Maize,10;63,2020/06/07 00:00:00
51,11,Silage,11;32,2020/11/26 00:00:00
52,11,Maize,12;02,2021/05/29 00:00:00
53,11,Silage,6;35,2021/03/01 00:00:00
54,11,Lucerne,14;16,2022/04/13 00:00:00
55,11,Maize,12;09,2021/08/12 00:00:00
56,12,Lucerne,5;65,2023/12/10 00:00:00
57,12,Maize,8;88,2023/08/11 00:00:00
58,12,Maize,13;72,2022/12/25 00:00:00
59,12,Lucerne,5;60,2022/06/04 00:00:00
60,12,Grass,10;83,2023/12/13 00:00:00
61,13,Silage,10;30,2022/10/07 00:00:00
62,13,Silage,5;08,2022/07/16 00:00:00
63,13,Lucerne,11;90,2022/04/27 00:00:00
64,13,Grass,9;82,2023/02/26 00:00:00
65,13,Grass,11;07,2021/11/02 00:00:00
66,14,Grass,12;68,2024/04/12 00:00:00
67,14,Lucerne,14;87,2025/07/12 00:00:00
68,14,Lucerne,6;13,2024/06/19 00:00:00
69,14,Grass,12;71,2025/06/29 00:00:00
70,14,Maize,11;50,2025/04/14 00:00:00
71,15,Silage,6;68,2022/08/12 00:00:00
72,15,Silage,10;41,2022/04/28 00:00:00
73,15,Grass,9;19,2022/11/15 00:00:00
74,15,Lucerne,5;04,2022/04/21 00:00:00
75,15,Maize,9;66,2023/03/26 00:00:00
76,16,Lucerne,10;62,2021/03/28 00:00:00
77,16,Grass,12;50,2021/04/15 00:00:00
78,16,Grass,6;49,2021/10/26 00:00:00
79,16,Grass,7;73,2021/07/03 00:00:00
80,16,Maize,5;65,2021/03/10 00:00:00
81,17,Lucerne,7;81,2022/02/06 00:00:00
82,17,Lucerne,13;41,2022/07/31 00:00:00
83,17,Silage,12;33,2022/02/23 00:00:00
84,17,Lucerne,5;33,2022/08/22 00:00:00
85,17,Silage,5;38,2023/10/02 00:00:00
86,18,Silage,9;85,2021/12/17 00:00:00
87,18,Silage,9;02,2021/03/12 00:00:00
88,18,Silage,9;44,2022/05/28 00:00:00
89,18,Silage,7;62,2020/11/11 00:00:00
90,18,Lucerne,5;95,2021/04/19 00:00:00
91,19,Lucerne,11;41,2022/09/29 00:00:00
92,19,Silage,6;06,2023/05/23 00:00:00
93,19,Silage,11;99,2023/03/22 00:00:00
94,19,Maize,9;68,2023/07/30 00:00:00
95,19,Grass,9;47,2023/05/19 00:00:00
96,20,Lucerne,11;57,2021/09/20 00:00:00
97,20,Maize,12;77,2022/11/26 00:00:00
98,20,Lucerne,7;60,2022/09/08 00:00:00
99,20,Grass,8;18,2022/12/28 00:00:00
100,20,Grass,9;60,2022/07/16 00:00:00
101,21,Silage,9;18,2021/06/16 00:00:00
102,21,Lucerne,13;19,2021/01/09 00:00:00
103,21,Lucerne,14;03,2021/12/21 00:00:00
104,21,Silage,5;69,2021/09/19 00:00:00
105,21,Grass,11;77,2021/12/22 00:00:00
106,22,Silage,7;98,2025/08/09 00:00:00
107,22,Grass,9;04,2024/12/01 00:00:00
108,22,Lucerne,8;43,2024/05/31 00:00:00
109,22,Silage,6;99,2024/07/10 00:00:00
110,22,Maize,9;36,2025/03/28 00:00:00
111,23,Lucerne,6;96,2021/04/05 00:00:00
112,23,Grass,7;97,2020/12/05 00:00:00
113,23,Grass,9;00,2021/12/09 00:00:00
114,23,Silage,14;50,2022/02/28 00:00:00
115,23,Grass,8;54,2022/01/29 00:00:00
116,24,Grass,12;49,2024/01/07 00:00:00
117,24,Maize,11;47,2023/01/12 00:00:00
118,24,Lucerne,14;57,2023/02/03 00:00:00
119,24,Lucerne,8;87,2023/02/15 00:00:00
120,24,Silage,8;17,2024/01/31 00:00:00
121,25,Grass,8;03,2022/12/25 00:00:00
122,25,Grass,8;73,2023/09/11 00:00:00
123,25,Maize,14;75,2022/10/30 00:00:00
124,25,Lucerne,6;91,2023/09/26 00:00:00
125,25,Silage,13;58,2022/12/16 00:00:00
126,26,Lucerne,12;30,2023/09/17 00:00:00
127,26,Maize,9;80,2022/10/06 00:00:00
128,26,Lucerne,14;62,2023/05/11 00:00:00
129,26,Lucerne,5;46,2022/05/24 00:00:00
130,26,Grass,5;73,2023/07/28 00:00:00
131,27,Lucerne,13;71,2023/07/03 00:00:00
132,27,Grass,8;14,2024/06/27 00:00:00
133,27,Silage,5;33,2025/01/27 00:00:00
134,27,Lucerne,9;55,2024/09/17 00:00:00
135,27,Grass,13;46,2024/02/26 00:00:00
