HarvestID,CropID,HarvestDate,QuantityKg,QualityGrade
1,1,2025/01/04 00:00:00,284;14,A
2,2,2023/09/06 00:00:00,399;38,A
3,3,2024/01/12 00:00:00,276;43,C
4,4,2024/05/03 00:00:00,583;60,C
5,5,2024/04/25 00:00:00,685;57,A
6,6,2023/12/10 00:00:00,278;53,A
7,7,2025/03/15 00:00:00,384;50,C
8,8,2023/11/29 00:00:00,308;77,C
9,9,2024/05/12 00:00:00,525;02,C
10,10,2023/10/09 00:00:00,654;23,B
11,11,2023/06/21 00:00:00,681;71,B
12,12,2023/11/29 00:00:00,683;66,A
13,13,2024/03/06 00:00:00,316;84,C
14,14,2024/05/27 00:00:00,213;88,A
15,15,2023/05/25 00:00:00,394;61,C
16,16,2023/06/16 00:00:00,470;18,B
17,17,2023/07/24 00:00:00,257;07,A
18,18,2024/10/19 00:00:00,266;30,C
19,19,2023/06/10 00:00:00,590;32,A
20,20,2024/06/23 00:00:00,340;34,B
21,21,2024/12/05 00:00:00,311;31,A
22,22,2025/04/25 00:00:00,535;90,A
23,23,2024/05/30 00:00:00,449;54,A
24,24,2025/03/18 00:00:00,474;55,C
25,25,2024/03/25 00:00:00,592;08,A
26,26,2024/11/08 00:00:00,278;59,B
27,27,2024/01/22 00:00:00,432;82,B
28,28,2024/04/21 00:00:00,582;05,C
29,29,2025/03/10 00:00:00,216;78,A
30,30,2023/08/22 00:00:00,223;14,B
31,31,2023/11/16 00:00:00,661;74,B
32,32,2023/10/11 00:00:00,384;36,C
33,33,2025/04/04 00:00:00,486;86,C
34,34,2025/03/22 00:00:00,257;17,A
35,35,2023/09/29 00:00:00,534;34,A
36,36,2024/03/13 00:00:00,308;66,B
37,37,2023/09/18 00:00:00,452;93,A
38,38,2023/07/14 00:00:00,357;93,C
39,39,2024/05/27 00:00:00,608;83,C
40,40,2024/05/05 00:00:00,497;05,C
41,41,2023/06/10 00:00:00,287;70,A
42,42,2023/09/19 00:00:00,446;58,A
43,43,2023/12/25 00:00:00,616;13,A
44,44,2024/09/12 00:00:00,205;48,B
45,45,2023/07/03 00:00:00,416;31,B
46,46,2023/06/21 00:00:00,639;33,B
47,47,2025/03/10 00:00:00,285;17,C
48,48,2023/11/20 00:00:00,563;67,C
49,49,2024/07/22 00:00:00,529;80,C
50,50,2024/03/07 00:00:00,537;60,C
51,51,2025/04/18 00:00:00,259;85,B
52,52,2024/02/09 00:00:00,240;78,B
53,53,2024/12/17 00:00:00,654;33,C
54,54,2024/06/17 00:00:00,671;83,A
55,55,2024/03/24 00:00:00,319;74,C
56,56,2025/02/13 00:00:00,630;58,A
57,57,2023/09/08 00:00:00,555;73,A
58,58,2024/04/14 00:00:00,326;47,B
59,59,2025/02/07 00:00:00,698;35,A
60,60,2024/09/06 00:00:00,274;73,B
61,61,2025/03/03 00:00:00,534;76,B
62,62,2024/10/03 00:00:00,569;84,A
63,63,2024/11/07 00:00:00,413;33,C
64,64,2024/10/22 00:00:00,331;54,B
65,65,2024/04/05 00:00:00,465;14,B
66,66,2023/09/20 00:00:00,337;74,A
67,67,2024/03/10 00:00:00,221;61,C
68,68,2024/05/27 00:00:00,639;97,C
69,69,2023/09/20 00:00:00,297;98,A
70,70,2024/05/15 00:00:00,377;30,A
71,71,2023/09/13 00:00:00,273;60,C
72,72,2024/08/17 00:00:00,359;67,B
73,73,2024/07/15 00:00:00,496;31,B
74,74,2023/05/20 00:00:00,581;80,A
75,75,2025/01/02 00:00:00,499;69,A
76,76,2024/12/23 00:00:00,568;03,B
77,77,2023/08/30 00:00:00,470;32,A
78,78,2024/06/09 00:00:00,274;55,B
79,79,2023/12/24 00:00:00,518;57,C
80,80,2024/11/12 00:00:00,226;10,A
81,81,2024/09/26 00:00:00,430;35,A
82,82,2025/01/22 00:00:00,538;86,B
83,83,2024/05/23 00:00:00,476;76,C
84,84,2023/09/11 00:00:00,335;97,C
85,85,2024/12/19 00:00:00,283;35,B
86,86,2024/05/21 00:00:00,425;00,C
87,87,2024/05/17 00:00:00,575;44,A
88,88,2024/01/20 00:00:00,367;84,C
89,89,2024/04/19 00:00:00,318;09,A
90,90,2024/03/19 00:00:00,511;14,C
91,91,2024/02/11 00:00:00,689;33,A
92,92,2024/02/27 00:00:00,227;07,B
93,93,2024/05/27 00:00:00,623;52,C
94,94,2023/08/08 00:00:00,493;46,C
95,95,2024/02/19 00:00:00,513;20,A
96,96,2024/09/08 00:00:00,280;73,A
97,97,2024/01/30 00:00:00,681;06,A
98,98,2024/12/11 00:00:00,523;90,C
99,99,2024/03/24 00:00:00,262;62,B
100,100,2024/05/29 00:00:00,225;04,C
101,101,2024/12/09 00:00:00,345;78,C
102,102,2024/09/15 00:00:00,678;51,A
103,103,2023/11/26 00:00:00,515;70,C
104,104,2024/10/15 00:00:00,601;62,B
105,105,2024/06/09 00:00:00,628;33,A
106,106,2024/08/17 00:00:00,364;00,B
107,107,2023/09/10 00:00:00,322;20,A
108,108,2025/03/26 00:00:00,293;86,A
109,109,2023/12/13 00:00:00,317;99,A
110,110,2023/06/05 00:00:00,604;67,C
111,111,2023/06/29 00:00:00,273;34,B
112,112,2023/09/26 00:00:00,354;78,C
113,113,2023/11/28 00:00:00,346;44,A
114,114,2024/11/21 00:00:00,210;13,B
115,115,2024/02/27 00:00:00,396;58,B
116,116,2025/02/18 00:00:00,570;67,B
117,117,2023/10/06 00:00:00,242;99,C
118,118,2024/11/12 00:00:00,485;79,A
119,119,2024/06/27 00:00:00,291;18,C
120,120,2025/04/21 00:00:00,608;75,A
121,121,2025/03/17 00:00:00,659;05,A
122,122,2024/03/17 00:00:00,697;11,B
123,123,2023/11/06 00:00:00,693;89,B
124,124,2024/06/25 00:00:00,242;44,C
125,125,2023/11/16 00:00:00,200;23,A
126,126,2025/04/25 00:00:00,510;55,C
127,127,2024/03/23 00:00:00,626;81,A
128,128,2023/10/20 00:00:00,556;16,C
129,129,2024/10/30 00:00:00,459;03,A
130,130,2023/10/03 00:00:00,626;08,B
131,131,2024/05/05 00:00:00,566;72,A
132,132,2023/05/19 00:00:00,253;25,B
133,133,2024/01/13 00:00:00,470;60,C
134,134,2024/04/28 00:00:00,407;55,B
135,135,2024/05/18 00:00:00,508;72,A
136,136,2024/01/24 00:00:00,269;48,A
137,137,2023/09/11 00:00:00,405;66,C
138,138,2025/01/29 00:00:00,657;03,A
139,139,2023/08/28 00:00:00,413;42,C
140,140,2023/07/23 00:00:00,631;57,B
141,141,2024/09/27 00:00:00,217;92,A
142,142,2024/10/05 00:00:00,481;11,A
143,143,2023/10/17 00:00:00,628;75,C
144,144,2023/06/01 00:00:00,559;79,C
145,145,2023/08/16 00:00:00,225;48,C
146,146,2024/04/18 00:00:00,516;50,A
147,147,2025/01/12 00:00:00,228;48,A
148,148,2024/11/18 00:00:00,379;96,C
149,149,2023/05/30 00:00:00,690;37,B
150,150,2023/12/03 00:00:00,601;34,A
151,151,2023/06/23 00:00:00,322;64,B
152,152,2024/01/13 00:00:00,277;82,C
153,153,2025/01/20 00:00:00,293;76,A
154,154,2024/11/03 00:00:00,442;55,A
155,155,2024/04/27 00:00:00,351;92,B
156,156,2023/06/23 00:00:00,421;84,B
157,157,2023/11/03 00:00:00,321;48,A
158,158,2024/10/15 00:00:00,437;42,B
159,159,2024/12/08 00:00:00,539;17,A
160,160,2024/10/31 00:00:00,460;28,C
161,161,2024/07/18 00:00:00,217;60,B
162,162,2024/12/24 00:00:00,415;08,C
163,163,2023/05/28 00:00:00,401;84,A
164,164,2024/06/12 00:00:00,334;96,A
165,165,2024/07/07 00:00:00,378;03,A
166,166,2023/08/22 00:00:00,239;35,C
167,167,2024/11/10 00:00:00,281;50,B
168,168,2023/08/11 00:00:00,393;60,B
169,169,2023/08/12 00:00:00,245;76,B
170,170,2023/12/27 00:00:00,639;58,B
171,171,2024/08/11 00:00:00,379;91,B
172,172,2024/12/09 00:00:00,482;12,B
173,173,2025/04/01 00:00:00,328;70,A
174,174,2023/05/26 00:00:00,616;65,C
175,175,2025/01/22 00:00:00,616;00,C
176,176,2025/02/22 00:00:00,699;61,C
177,177,2024/05/19 00:00:00,247;80,A
178,178,2025/01/13 00:00:00,298;89,C
179,179,2024/03/02 00:00:00,286;81,A
180,180,2024/11/15 00:00:00,480;05,A
181,181,2023/09/27 00:00:00,212;16,B
182,182,2023/04/26 00:00:00,590;79,A
183,183,2023/08/05 00:00:00,487;09,B
184,184,2024/10/16 00:00:00,394;68,B
185,185,2023/09/23 00:00:00,616;23,A
186,186,2024/02/03 00:00:00,397;38,A
187,187,2024/07/20 00:00:00,280;33,C
188,188,2024/04/15 00:00:00,368;22,B
189,189,2024/11/08 00:00:00,691;39,A
190,190,2024/08/19 00:00:00,529;49,A
191,191,2023/07/09 00:00:00,314;70,B
192,192,2023/12/15 00:00:00,336;24,B
193,193,2023/06/04 00:00:00,318;64,A
194,194,2024/04/10 00:00:00,557;54,A
195,195,2024/08/03 00:00:00,416;18,C
196,196,2024/09/02 00:00:00,329;22,C
197,197,2025/04/27 00:00:00,219;17,C
198,198,2023/07/20 00:00:00,469;47,C
199,199,2023/05/13 00:00:00,600;18,B
200,200,2023/05/24 00:00:00,611;95,B
201,201,2024/05/29 00:00:00,545;64,A
202,202,2024/09/04 00:00:00,202;41,C
203,203,2023/09/16 00:00:00,439;45,C
204,204,2023/05/04 00:00:00,590;14,A
205,205,2024/05/25 00:00:00,584;98,C
206,206,2023/05/19 00:00:00,557;74,A
207,207,2024/07/26 00:00:00,490;15,A
208,208,2024/11/23 00:00:00,647;72,B
209,209,2023/12/29 00:00:00,254;06,A
210,210,2023/07/05 00:00:00,615;01,B
211,211,2024/03/01 00:00:00,658;96,A
212,212,2024/08/07 00:00:00,290;22,A
213,213,2024/02/27 00:00:00,592;17,B
214,214,2024/02/26 00:00:00,220;78,B
215,215,2024/12/11 00:00:00,409;18,B
216,216,2025/01/13 00:00:00,526;45,B
217,217,2023/10/19 00:00:00,304;08,A
218,218,2023/07/24 00:00:00,515;89,A
219,219,2023/07/15 00:00:00,413;90,B
220,220,2025/02/08 00:00:00,201;75,A
221,221,2024/01/08 00:00:00,378;75,B
222,222,2023/11/11 00:00:00,343;32,C
223,223,2024/03/24 00:00:00,686;72,A
224,224,2023/12/08 00:00:00,335;97,C
225,225,2024/05/15 00:00:00,629;45,C
226,226,2023/11/27 00:00:00,635;55,B
227,227,2024/11/02 00:00:00,533;45,B
228,228,2024/11/08 00:00:00,553;24,B
229,229,2024/01/23 00:00:00,220;02,C
230,230,2024/03/15 00:00:00,202;43,C
231,231,2023/07/19 00:00:00,638;89,B
232,232,2023/07/06 00:00:00,559;96,B
233,233,2025/04/28 00:00:00,245;80,A
234,234,2024/05/21 00:00:00,666;70,B
235,235,2024/12/07 00:00:00,502;62,C
236,236,2024/02/20 00:00:00,281;94,B
237,237,2024/10/21 00:00:00,347;83,B
238,238,2024/11/08 00:00:00,239;47,B
239,239,2023/12/22 00:00:00,223;05,B
240,240,2025/03/27 00:00:00,285;04,C
241,241,2023/11/11 00:00:00,335;28,A
242,242,2024/10/02 00:00:00,473;71,B
243,243,2023/05/23 00:00:00,443;06,A
244,244,2024/01/10 00:00:00,609;48,C
245,245,2024/10/15 00:00:00,364;05,A
246,246,2025/01/10 00:00:00,684;43,B
247,247,2023/12/09 00:00:00,439;21,A
248,248,2024/05/03 00:00:00,420;09,C
249,249,2024/08/24 00:00:00,628;44,C
250,250,2023/12/29 00:00:00,498;12,C
251,251,2023/11/14 00:00:00,291;74,C
252,252,2024/04/18 00:00:00,298;03,C
253,253,2023/07/10 00:00:00,591;68,A
254,254,2023/12/13 00:00:00,302;76,A
255,255,2023/10/07 00:00:00,354;27,B
256,256,2025/01/26 00:00:00,356;20,B
257,257,2023/07/02 00:00:00,545;61,B
258,258,2023/12/15 00:00:00,532;91,B
259,259,2024/07/28 00:00:00,613;26,A
260,260,2023/10/12 00:00:00,663;30,C
261,261,2023/10/01 00:00:00,405;34,A
262,262,2023/08/15 00:00:00,308;81,A
263,263,2024/05/14 00:00:00,658;83,B
264,264,2025/03/31 00:00:00,273;22,A
265,265,2024/09/26 00:00:00,235;95,A
266,266,2023/07/20 00:00:00,442;12,A
267,267,2024/08/08 00:00:00,648;17,B
268,268,2023/08/04 00:00:00,442;00,B
269,269,2024/06/17 00:00:00,222;09,B
270,270,2025/01/27 00:00:00,543;87,A
271,271,2025/04/03 00:00:00,673;10,B
272,272,2024/12/15 00:00:00,456;08,C
273,273,2023/11/11 00:00:00,680;43,B
274,274,2023/12/05 00:00:00,637;64,A
275,275,2024/10/09 00:00:00,400;65,C
276,276,2024/03/15 00:00:00,278;51,B
277,277,2023/06/30 00:00:00,673;65,B
278,278,2023/09/05 00:00:00,366;57,A
279,279,2024/04/26 00:00:00,454;29,C
280,280,2023/05/17 00:00:00,227;35,A
281,281,2025/04/12 00:00:00,249;91,C
282,282,2023/07/22 00:00:00,241;46,A
283,283,2023/11/09 00:00:00,640;55,A
284,284,2025/01/31 00:00:00,525;55,A
285,285,2024/02/26 00:00:00,626;70,A
286,286,2024/02/02 00:00:00,496;68,A
