HealthRecordID,LivestockID,CheckDate,Notes,Treatment
1,1,2023/01/09 00:00:00,Loss of appetite for 2 days.,Multivitamin Supplement
2,2,2021/10/20 00:00:00,Routine check-up; all vitals normal.,Anti-inflammatory Injection
3,3,2023/06/11 00:00:00,Increased weight gain; healthy condition.,Fly Repellent Spray
4,4,2022/04/09 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
5,5,2023/07/14 00:00:00,Mild coughing; vitamin booster given.,Fly Repellent Spray
6,6,2023/05/27 00:00:00,Wound from fencing; disinfected and bandaged.,Multivitamin Supplement
7,7,2023/03/01 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
8,8,2021/08/14 00:00:00,Vaccination administered; no side effects.,Tick and Flea Dip
9,9,2023/04/15 00:00:00,Minor cut observed on front leg.,Tick and Flea Dip
10,10,2020/09/02 00:00:00,Hoof trimmed and cleaned.,Fly Repellent Spray
11,11,2021/01/02 00:00:00,Hoof trimmed and cleaned.,Antibiotics (Oxytetracycline)
12,12,2022/07/07 00:00:00,Exhibiting signs of heat stress.,Fly Repellent Spray
13,13,2021/10/15 00:00:00,Minor infection treated; under observation.,Vitamin B12 Injection
14,14,2024/06/01 00:00:00,Vaccination administered; no side effects.,Vitamin B12 Injection
15,15,2021/11/26 00:00:00,Exhibiting signs of heat stress.,Deworming
16,16,2021/01/12 00:00:00,Minor cut observed on front leg.,Vaccination (Anthrax)
17,17,2022/04/14 00:00:00,Minor infection treated; under observation.,Electrolytes Added to Water
18,18,2021/02/01 00:00:00,Hoof trimmed and cleaned.,Vitamin B12 Injection
19,19,2022/05/17 00:00:00,Wound from fencing; disinfected and bandaged.,Tick and Flea Dip
20,20,2021/10/12 00:00:00,Vaccination administered; no side effects.,Foot Rot Treatment
21,21,2020/08/04 00:00:00,Increased weight gain; healthy condition.,Electrolytes Added to Water
22,22,2024/02/12 00:00:00,Routine check-up; all vitals normal.,Vitamin B12 Injection
23,23,2021/02/05 00:00:00,Vaccination administered; no side effects.,Antibiotics (Oxytetracycline)
24,24,2023/04/01 00:00:00,Minor infection treated; under observation.,Fly Repellent Spray
25,25,2022/06/01 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
26,26,2022/03/24 00:00:00,Exhibiting signs of heat stress.,Electrolytes Added to Water
27,27,2023/08/10 00:00:00,Hoof trimmed and cleaned.,Foot Rot Treatment
28,28,2021/03/15 00:00:00,Loss of appetite for 2 days.,Deworming
29,29,2022/09/01 00:00:00,Loss of appetite for 2 days.,Antibiotics (Oxytetracycline)
30,30,2023/03/20 00:00:00,Vaccination administered; no side effects.,Multivitamin Supplement
31,31,2022/10/10 00:00:00,Exhibiting signs of heat stress.,Foot Rot Treatment
