IrrigationID,CropID,IrrigationDate,Method,WaterLitres
1,1,2024/09/05 00:00:00,Sprinkler,197;82
2,1,2024/09/19 00:00:00,Center Pivot,207;01
3,1,2024/10/03 00:00:00,Sprinkler,159;15
4,2,2023/05/08 00:00:00,Drip,203;69
5,2,2023/05/22 00:00:00,Center Pivot,242;26
6,2,2023/06/05 00:00:00,Sprinkler,267;35
7,3,2023/09/14 00:00:00,Sprinkler,174;70
8,3,2023/09/28 00:00:00,Drip,129;27
9,3,2023/10/12 00:00:00,Center Pivot,112;10
10,4,2024/01/04 00:00:00,Center Pivot,204;19
11,4,2024/01/18 00:00:00,Center Pivot,186;83
12,4,2024/02/01 00:00:00,Center Pivot,182;01
13,5,2023/12/22 00:00:00,Center Pivot,221;38
14,5,2024/01/05 00:00:00,Sprinkler,243;05
15,5,2024/01/19 00:00:00,Center Pivot,200;36
16,6,2023/08/11 00:00:00,Center Pivot,217;60
17,6,2023/08/25 00:00:00,Center Pivot,192;26
18,6,2023/09/08 00:00:00,Center Pivot,244;21
19,7,2024/11/15 00:00:00,Drip,239;95
20,7,2024/11/29 00:00:00,Drip,251;84
21,7,2024/12/13 00:00:00,Center Pivot,175;27
22,8,2023/07/25 00:00:00,Sprinkler,247;99
23,8,2023/08/08 00:00:00,Drip,107;76
24,8,2023/08/22 00:00:00,Drip,101;20
25,9,2024/01/09 00:00:00,Sprinkler,215;03
26,9,2024/01/23 00:00:00,Drip,190;10
27,9,2024/02/06 00:00:00,Sprinkler,264;71
28,10,2023/06/14 00:00:00,Center Pivot,299;57
29,10,2023/06/28 00:00:00,Sprinkler,154;88
30,10,2023/07/12 00:00:00,Center Pivot,254;07
31,11,2023/02/22 00:00:00,Center Pivot,183;22
32,11,2023/03/08 00:00:00,Center Pivot,175;48
33,11,2023/03/22 00:00:00,Center Pivot,287;66
34,12,2023/08/03 00:00:00,Center Pivot,286;22
35,12,2023/08/17 00:00:00,Sprinkler,195;80
36,12,2023/08/31 00:00:00,Center Pivot,148;41
37,13,2023/11/01 00:00:00,Drip,292;47
38,13,2023/11/15 00:00:00,Sprinkler,193;50
39,13,2023/11/29 00:00:00,Drip,146;91
40,14,2024/01/18 00:00:00,Sprinkler,265;92
41,14,2024/02/01 00:00:00,Sprinkler,173;70
42,14,2024/02/15 00:00:00,Drip,137;91
43,15,2023/01/26 00:00:00,Drip,186;57
44,15,2023/02/09 00:00:00,Drip,133;71
