LivestockID,FarmerID,TagNumber,Species,Breed,BirthDate,RegistrationDate
1,1,TAG-1-1,Sheep,Bonsmara,2022/07/09 00:00:00,2022/09/09 00:00:00
2,1,TAG-1-2,Goat,Bonsmara,2021/04/20 00:00:00,2021/06/20 00:00:00
3,1,TAG-1-3,Goat,Dorper,2022/12/11 00:00:00,2023/02/11 00:00:00
4,1,TAG-1-4,Cattle,Bonsmara,2021/10/09 00:00:00,2021/12/09 00:00:00
5,1,TAG-1-5,Cattle,Nguni,2023/01/14 00:00:00,2023/03/14 00:00:00
6,1,TAG-1-6,Cattle,Boer Goat,2022/11/27 00:00:00,2023/01/27 00:00:00
7,1,TAG-1-7,Goat,Merino,2022/09/01 00:00:00,2022/11/01 00:00:00
8,1,TAG-1-8,Goat,Boer Goat,2021/02/14 00:00:00,2021/04/14 00:00:00
9,1,TAG-1-9,Cattle,Nguni,2022/10/15 00:00:00,2022/12/15 00:00:00
10,1,TAG-1-10,Goat,Bonsmara,2020/03/02 00:00:00,2020/05/02 00:00:00
11,2,TAG-2-1,Sheep,Boer Goat,2020/07/02 00:00:00,2020/09/02 00:00:00
12,2,TAG-2-2,Sheep,Boer Goat,2022/01/07 00:00:00,2022/03/07 00:00:00
13,2,TAG-2-3,Cattle,Nguni,2021/04/15 00:00:00,2021/06/15 00:00:00
14,2,TAG-2-4,Sheep,Merino,2023/12/01 00:00:00,2024/02/01 00:00:00
15,2,TAG-2-5,Goat,Dorper,2021/05/26 00:00:00,2021/07/26 00:00:00
16,2,TAG-2-6,Cattle,Dorper,2020/07/12 00:00:00,2020/09/12 00:00:00
17,2,TAG-2-7,Goat,Nguni,2021/10/14 00:00:00,2021/12/14 00:00:00
18,2,TAG-2-8,Cattle,Dorper,2020/08/01 00:00:00,2020/10/01 00:00:00
19,2,TAG-2-9,Cattle,Dorper,2021/11/17 00:00:00,2022/01/17 00:00:00
20,2,TAG-2-10,Cattle,Nguni,2021/04/12 00:00:00,2021/06/12 00:00:00
21,3,TAG-3-1,Sheep,Boer Goat,2020/02/04 00:00:00,2020/04/04 00:00:00
22,3,TAG-3-2,Cattle,Boer Goat,2023/08/12 00:00:00,2023/10/12 00:00:00
23,3,TAG-3-3,Sheep,Dorper,2020/08/05 00:00:00,2020/10/05 00:00:00
24,3,TAG-3-4,Cattle,Dorper,2022/10/01 00:00:00,2022/12/01 00:00:00
