LivestockWeightID,LivestockID,RecordedOn,WeightKg
1,1,2022/10/09 00:00:00,148;46
2,1,2022/11/09 00:00:00,69;27
3,1,2022/12/09 00:00:00,128;11
4,1,2023/01/09 00:00:00,277;75
5,1,2023/02/09 00:00:00,191;72
6,2,2021/07/20 00:00:00,37;53
7,2,2021/08/20 00:00:00,148;65
8,2,2021/09/20 00:00:00,298;35
9,2,2021/10/20 00:00:00,80;74
10,2,2021/11/20 00:00:00,166;39
11,3,2023/03/11 00:00:00,245;20
12,3,2023/04/11 00:00:00,220;12
13,3,2023/05/11 00:00:00,74;62
14,3,2023/06/11 00:00:00,113;77
15,3,2023/07/11 00:00:00,279;22
16,4,2022/01/09 00:00:00,326;80
17,4,2022/02/09 00:00:00,139;39
18,4,2022/03/09 00:00:00,201;19
19,4,2022/04/09 00:00:00,152;58
20,4,2022/05/09 00:00:00,200;32
21,5,2023/04/14 00:00:00,252;62
22,5,2023/05/14 00:00:00,184;03
23,5,2023/06/14 00:00:00,232;29
24,5,2023/07/14 00:00:00,181;25
25,5,2023/08/14 00:00:00,304;73
26,6,2023/02/27 00:00:00,200;99
27,6,2023/03/27 00:00:00,170;42
28,6,2023/04/27 00:00:00,86;27
29,6,2023/05/27 00:00:00,299;25
30,6,2023/06/27 00:00:00,78;21
31,7,2022/12/01 00:00:00,73;64
32,7,2023/01/01 00:00:00,181;83
33,7,2023/02/01 00:00:00,316;17
34,7,2023/03/01 00:00:00,81;47
35,7,2023/04/01 00:00:00,273;06
36,8,2021/05/14 00:00:00,75;58
37,8,2021/06/14 00:00:00,155;22
38,8,2021/07/14 00:00:00,99;46
39,8,2021/08/14 00:00:00,81;97
40,8,2021/09/14 00:00:00,227;57
41,9,2023/01/15 00:00:00,164;57
42,9,2023/02/15 00:00:00,95;26
43,9,2023/03/15 00:00:00,307;11
44,9,2023/04/15 00:00:00,154;27
45,9,2023/05/15 00:00:00,64;21
46,10,2020/06/02 00:00:00,158;23
47,10,2020/07/02 00:00:00,258;40
48,10,2020/08/02 00:00:00,142;67
49,10,2020/09/02 00:00:00,209;94
50,10,2020/10/02 00:00:00,299;31
51,11,2020/10/02 00:00:00,34;72
52,11,2020/11/02 00:00:00,115;17
53,11,2020/12/02 00:00:00,255;19
54,11,2021/01/02 00:00:00,221;59
55,11,2021/02/02 00:00:00,77;49
56,12,2022/04/07 00:00:00,294;42
57,12,2022/05/07 00:00:00,166;97
58,12,2022/06/07 00:00:00,276;86
59,12,2022/07/07 00:00:00,303;03
60,12,2022/08/07 00:00:00,320;73
61,13,2021/07/15 00:00:00,197;11
62,13,2021/08/15 00:00:00,92;38
63,13,2021/09/15 00:00:00,329;10
64,13,2021/10/15 00:00:00,32;53
65,13,2021/11/15 00:00:00,122;75
66,14,2024/03/01 00:00:00,93;37
67,14,2024/04/01 00:00:00,233;94
68,14,2024/05/01 00:00:00,323;15
69,14,2024/06/01 00:00:00,170;71
70,14,2024/07/01 00:00:00,233;64
71,15,2021/08/26 00:00:00,201;58
72,15,2021/09/26 00:00:00,69;93
73,15,2021/10/26 00:00:00,149;22
74,15,2021/11/26 00:00:00,255;01
75,15,2021/12/26 00:00:00,65;75
76,16,2020/10/12 00:00:00,187;35
77,16,2020/11/12 00:00:00,206;92
78,16,2020/12/12 00:00:00,108;02
79,16,2021/01/12 00:00:00,147;04
80,16,2021/02/12 00:00:00,176;49
81,17,2022/01/14 00:00:00,272;58
82,17,2022/02/14 00:00:00,57;75
83,17,2022/03/14 00:00:00,206;34
84,17,2022/04/14 00:00:00,329;94
85,17,2022/05/14 00:00:00,73;49
86,18,2020/11/01 00:00:00,288;46
87,18,2020/12/01 00:00:00,256;64
88,18,2021/01/01 00:00:00,124;58
89,18,2021/02/01 00:00:00,33;98
90,18,2021/03/01 00:00:00,308;64
91,19,2022/02/17 00:00:00,238;60
92,19,2022/03/17 00:00:00,208;36
93,19,2022/04/17 00:00:00,126;44
94,19,2022/05/17 00:00:00,91;24
95,19,2022/06/17 00:00:00,60;45
96,20,2021/07/12 00:00:00,102;19
97,20,2021/08/12 00:00:00,96;16
98,20,2021/09/12 00:00:00,304;58
99,20,2021/10/12 00:00:00,61;52
100,20,2021/11/12 00:00:00,300;85
101,21,2020/05/04 00:00:00,254;29
102,21,2020/06/04 00:00:00,265;25
103,21,2020/07/04 00:00:00,301;96
104,21,2020/08/04 00:00:00,306;29
105,21,2020/09/04 00:00:00,127;73
106,22,2023/11/12 00:00:00,294;79
107,22,2023/12/12 00:00:00,295;95
108,22,2024/01/12 00:00:00,30;18
109,22,2024/02/12 00:00:00,185;84
110,22,2024/03/12 00:00:00,220;14
111,23,2020/11/05 00:00:00,117;50
112,23,2020/12/05 00:00:00,88;95
113,23,2021/01/05 00:00:00,159;82
114,23,2021/02/05 00:00:00,156;53
115,23,2021/03/05 00:00:00,78;15
116,24,2023/01/01 00:00:00,169;36
117,24,2023/02/01 00:00:00,216;04
118,24,2023/03/01 00:00:00,329;17
119,24,2023/04/01 00:00:00,289;04
120,24,2023/05/01 00:00:00,164;29
121,25,2022/03/01 00:00:00,166;73
122,25,2022/04/01 00:00:00,139;36
123,25,2022/05/01 00:00:00,319;17
124,25,2022/06/01 00:00:00,192;07
125,25,2022/07/01 00:00:00,325;04
126,26,2021/12/24 00:00:00,323;23
127,26,2022/01/24 00:00:00,273;49
128,26,2022/02/24 00:00:00,87;99
129,26,2022/03/24 00:00:00,224;56
130,26,2022/04/24 00:00:00,293;56
131,27,2023/05/10 00:00:00,121;20
132,27,2023/06/10 00:00:00,232;34
133,27,2023/07/10 00:00:00,76;51
134,27,2023/08/10 00:00:00,176;19
135,27,2023/09/10 00:00:00,252;20
136,28,2020/12/15 00:00:00,37;33
137,28,2021/01/15 00:00:00,85;79
138,28,2021/02/15 00:00:00,230;04
139,28,2021/03/15 00:00:00,232;21
140,28,2021/04/15 00:00:00,108;70
141,29,2022/06/01 00:00:00,322;51
142,29,2022/07/01 00:00:00,256;46
143,29,2022/08/01 00:00:00,268;74
144,29,2022/09/01 00:00:00,143;84
145,29,2022/10/01 00:00:00,221;14
146,30,2022/12/20 00:00:00,179;65
147,30,2023/01/20 00:00:00,78;54
148,30,2023/02/20 00:00:00,299;90
149,30,2023/03/20 00:00:00,43;09
150,30,2023/04/20 00:00:00,221;09
151,31,2022/07/10 00:00:00,216;15
152,31,2022/08/10 00:00:00,96;99
153,31,2022/09/10 00:00:00,45;54
154,31,2022/10/10 00:00:00,227;23
155,31,2022/11/10 00:00:00,164;12
156,32,2020/05/04 00:00:00,144;93
157,32,2020/06/04 00:00:00,276;08
158,32,2020/07/04 00:00:00,139;88
159,32,2020/08/04 00:00:00,311;25
160,32,2020/09/04 00:00:00,134;50
161,33,2020/12/21 00:00:00,51;29
162,33,2021/01/21 00:00:00,237;96
163,33,2021/02/21 00:00:00,135;62
164,33,2021/03/21 00:00:00,222;28
165,33,2021/04/21 00:00:00,128;94
166,34,2023/07/04 00:00:00,215;16
167,34,2023/08/04 00:00:00,42;45
168,34,2023/09/04 00:00:00,313;62
169,34,2023/10/04 00:00:00,234;33
170,34,2023/11/04 00:00:00,70;82
171,35,2023/06/24 00:00:00,113;57
172,35,2023/07/24 00:00:00,316;00
173,35,2023/08/24 00:00:00,126;96
174,35,2023/09/24 00:00:00,210;34
175,35,2023/10/24 00:00:00,171;78
176,36,2021/03/08 00:00:00,240;27
177,36,2021/04/08 00:00:00,200;62
178,36,2021/05/08 00:00:00,205;33
179,36,2021/06/08 00:00:00,300;94
180,36,2021/07/08 00:00:00,175;39
181,37,2022/04/20 00:00:00,274;69
182,37,2022/05/20 00:00:00,303;59
183,37,2022/06/20 00:00:00,74;90
184,37,2022/07/20 00:00:00,33;47
185,37,2022/08/20 00:00:00,107;41
186,38,2022/12/03 00:00:00,54;21
187,38,2023/01/03 00:00:00,216;80
188,38,2023/02/03 00:00:00,179;28
189,38,2023/03/03 00:00:00,42;08
190,38,2023/04/03 00:00:00,137;27
191,39,2020/10/20 00:00:00,91;25
192,39,2020/11/20 00:00:00,275;91
193,39,2020/12/20 00:00:00,248;79
194,39,2021/01/20 00:00:00,127;71
195,39,2021/02/20 00:00:00,87;41
196,40,2023/09/15 00:00:00,114;55
197,40,2023/10/15 00:00:00,150;84
198,40,2023/11/15 00:00:00,76;46
199,40,2023/12/15 00:00:00,44;90
200,40,2024/01/15 00:00:00,35;97
201,41,2021/10/19 00:00:00,167;21
202,41,2021/11/19 00:00:00,94;91
203,41,2021/12/19 00:00:00,95;57
204,41,2022/01/19 00:00:00,302;27
205,41,2022/02/19 00:00:00,137;52
206,42,2021/08/15 00:00:00,230;15
207,42,2021/09/15 00:00:00,300;03
208,42,2021/10/15 00:00:00,165;20
209,42,2021/11/15 00:00:00,85;45
210,42,2021/12/15 00:00:00,253;85
211,43,2021/02/01 00:00:00,274;30
212,43,2021/03/01 00:00:00,100;75
213,43,2021/04/01 00:00:00,168;94
214,43,2021/05/01 00:00:00,165;86
215,43,2021/06/01 00:00:00,189;81
216,44,2020/04/14 00:00:00,77;70
217,44,2020/05/14 00:00:00,193;07
218,44,2020/06/14 00:00:00,132;15
219,44,2020/07/14 00:00:00,144;87
220,44,2020/08/14 00:00:00,104;73
221,45,2020/06/23 00:00:00,328;36
222,45,2020/07/23 00:00:00,193;17
223,45,2020/08/23 00:00:00,301;55
224,45,2020/09/23 00:00:00,127;06
225,45,2020/10/23 00:00:00,309;56
226,46,2021/10/17 00:00:00,167;66
227,46,2021/11/17 00:00:00,97;21
228,46,2021/12/17 00:00:00,329;25
229,46,2022/01/17 00:00:00,152;93
230,46,2022/02/17 00:00:00,87;23
231,47,2022/08/02 00:00:00,119;42
232,47,2022/09/02 00:00:00,154;17
233,47,2022/10/02 00:00:00,190;43
234,47,2022/11/02 00:00:00,294;96
235,47,2022/12/02 00:00:00,38;18
236,48,2020/08/10 00:00:00,209;78
237,48,2020/09/10 00:00:00,238;02
238,48,2020/10/10 00:00:00,102;62
239,48,2020/11/10 00:00:00,225;95
240,48,2020/12/10 00:00:00,207;27
241,49,2020/06/04 00:00:00,84;18
242,49,2020/07/04 00:00:00,81;59
243,49,2020/08/04 00:00:00,123;83
244,49,2020/09/04 00:00:00,118;22
245,49,2020/10/04 00:00:00,192;97
246,50,2020/10/11 00:00:00,320;50
247,50,2020/11/11 00:00:00,136;97
248,50,2020/12/11 00:00:00,112;93
249,50,2021/01/11 00:00:00,267;89
250,50,2021/02/11 00:00:00,39;70
251,51,2023/04/26 00:00:00,251;48
252,51,2023/05/26 00:00:00,48;70
253,51,2023/06/26 00:00:00,261;59
254,51,2023/07/26 00:00:00,270;17
255,51,2023/08/26 00:00:00,37;61
256,52,2020/12/10 00:00:00,304;04
257,52,2021/01/10 00:00:00,123;36
258,52,2021/02/10 00:00:00,298;51
259,52,2021/03/10 00:00:00,322;71
260,52,2021/04/10 00:00:00,299;86
261,53,2024/01/24 00:00:00,162;94
262,53,2024/02/24 00:00:00,300;78
263,53,2024/03/24 00:00:00,42;27
264,53,2024/04/24 00:00:00,328;22
265,53,2024/05/24 00:00:00,164;43
266,54,2024/01/22 00:00:00,150;14
267,54,2024/02/22 00:00:00,240;32
268,54,2024/03/22 00:00:00,203;98
269,54,2024/04/22 00:00:00,157;67
270,54,2024/05/22 00:00:00,310;04
271,55,2023/11/19 00:00:00,169;68
272,55,2023/12/19 00:00:00,120;45
273,55,2024/01/19 00:00:00,236;19
274,55,2024/02/19 00:00:00,267;60
275,55,2024/03/19 00:00:00,50;55
276,56,2020/04/06 00:00:00,276;77
277,56,2020/05/06 00:00:00,99;34
278,56,2020/06/06 00:00:00,213;33
279,56,2020/07/06 00:00:00,264;09
280,56,2020/08/06 00:00:00,319;06
281,57,2023/05/13 00:00:00,60;69
282,57,2023/06/13 00:00:00,314;27
283,57,2023/07/13 00:00:00,91;36
284,57,2023/08/13 00:00:00,143;23
285,57,2023/09/13 00:00:00,165;75
286,58,2022/09/22 00:00:00,100;73
287,58,2022/10/22 00:00:00,222;58
288,58,2022/11/22 00:00:00,250;26
289,58,2022/12/22 00:00:00,287;35
290,58,2023/01/22 00:00:00,64;15
291,59,2022/03/19 00:00:00,116;41
292,59,2022/04/19 00:00:00,269;51
293,59,2022/05/19 00:00:00,109;91
294,59,2022/06/19 00:00:00,256;09
295,59,2022/07/19 00:00:00,74;32
296,60,2021/07/17 00:00:00,113;40
297,60,2021/08/17 00:00:00,69;32
298,60,2021/09/17 00:00:00,125;61
299,60,2021/10/17 00:00:00,283;79
300,60,2021/11/17 00:00:00,72;83
301,61,2021/12/05 00:00:00,110;18
302,61,2022/01/05 00:00:00,262;99
303,61,2022/02/05 00:00:00,285;26
304,61,2022/03/05 00:00:00,287;86
305,61,2022/04/05 00:00:00,200;02
306,62,2020/08/23 00:00:00,161;03
307,62,2020/09/23 00:00:00,142;51
308,62,2020/10/23 00:00:00,323;99
309,62,2020/11/23 00:00:00,249;63
310,62,2020/12/23 00:00:00,90;84
311,63,2020/10/16 00:00:00,234;70
312,63,2020/11/16 00:00:00,240;04
313,63,2020/12/16 00:00:00,64;43
314,63,2021/01/16 00:00:00,33;65
315,63,2021/02/16 00:00:00,269;18
316,64,2023/08/06 00:00:00,178;67
317,64,2023/09/06 00:00:00,239;42
318,64,2023/10/06 00:00:00,229;04
319,64,2023/11/06 00:00:00,192;47
320,64,2023/12/06 00:00:00,93;71
321,65,2021/04/07 00:00:00,257;56
322,65,2021/05/07 00:00:00,320;06
323,65,2021/06/07 00:00:00,246;62
324,65,2021/07/07 00:00:00,123;53
325,65,2021/08/07 00:00:00,223;63
326,66,2024/03/26 00:00:00,230;17
327,66,2024/04/26 00:00:00,40;53
328,66,2024/05/26 00:00:00,310;10
329,66,2024/06/26 00:00:00,223;28
330,66,2024/07/26 00:00:00,267;15
331,67,2022/09/18 00:00:00,237;45
332,67,2022/10/18 00:00:00,303;73
333,67,2022/11/18 00:00:00,259;54
334,67,2022/12/18 00:00:00,221;25
335,67,2023/01/18 00:00:00,238;88
336,68,2021/03/10 00:00:00,127;69
337,68,2021/04/10 00:00:00,59;01
338,68,2021/05/10 00:00:00,133;50
339,68,2021/06/10 00:00:00,273;21
340,68,2021/07/10 00:00:00,34;72
341,69,2020/11/13 00:00:00,288;22
342,69,2020/12/13 00:00:00,228;60
343,69,2021/01/13 00:00:00,30;63
344,69,2021/02/13 00:00:00,226;52
345,69,2021/03/13 00:00:00,159;45
346,70,2023/09/16 00:00:00,206;37
347,70,2023/10/16 00:00:00,235;08
348,70,2023/11/16 00:00:00,106;26
349,70,2023/12/16 00:00:00,316;92
350,70,2024/01/16 00:00:00,225;66
351,71,2023/05/20 00:00:00,203;98
352,71,2023/06/20 00:00:00,170;28
353,71,2023/07/20 00:00:00,263;14
