PestTreatmentID,CropID,TreatmentDate,PestDetected,ChemicalUsed,Dosage
1,1,2024/10/24 00:00:00,Aphids,Insecticide Z,17ml per litre
2,4,2024/01/20 00:00:00,Cutworms,Pesticide A,19ml per litre
3,5,2024/01/29 00:00:00,Armyworm,Insecticide Z,15ml per litre
4,7,2024/12/22 00:00:00,Weevils,Insecticide Z,19ml per litre
5,9,2024/02/02 00:00:00,Aphids,Insecticide Z,7ml per litre
6,13,2023/12/23 00:00:00,Weevils,Pesticide A,11ml per litre
7,16,2023/03/22 00:00:00,Cutworms,Pesticide A,19ml per litre
8,17,2023/05/09 00:00:00,Cutworms,Insecticide Z,7ml per litre
9,18,2024/07/21 00:00:00,Weevils,Pesticide B,16ml per litre
10,19,2023/03/04 00:00:00,Weevils,Insecticide Z,19ml per litre
11,20,2024/03/11 00:00:00,Armyworm,Pesticide B,14ml per litre
12,22,2025/01/17 00:00:00,Weevils,Neem Oil,9ml per litre
13,24,2024/11/23 00:00:00,Aphids,Insecticide Z,8ml per litre
14,25,2024/01/14 00:00:00,Cutworms,Pesticide A,13ml per litre
15,27,2023/11/06 00:00:00,Aphids,Neem Oil,18ml per litre
16,28,2024/02/13 00:00:00,Cutworms,Pesticide B,12ml per litre
17,30,2023/05/16 00:00:00,Aphids,Pesticide A,12ml per litre
18,31,2023/09/02 00:00:00,Cutworms,Insecticide Z,7ml per litre
19,32,2023/06/17 00:00:00,Cutworms,Insecticide Z,7ml per litre
20,33,2025/01/18 00:00:00,Cutworms,Insecticide Z,10ml per litre
21,34,2025/01/18 00:00:00,Weevils,Neem Oil,16ml per litre
22,35,2023/07/28 00:00:00,Weevils,Pesticide B,19ml per litre
23,37,2023/07/07 00:00:00,Armyworm,Pesticide B,15ml per litre
24,38,2023/03/24 00:00:00,Aphids,Pesticide B,18ml per litre
25,39,2024/03/09 00:00:00,Aphids,Insecticide Z,12ml per litre
26,41,2023/03/26 00:00:00,Aphids,Pesticide B,7ml per litre
27,42,2023/06/09 00:00:00,Armyworm,Insecticide Z,12ml per litre
28,46,2023/04/04 00:00:00,Aphids,Insecticide Z,7ml per litre
29,47,2024/11/25 00:00:00,Aphids,Pesticide B,11ml per litre
30,48,2023/08/17 00:00:00,Cutworms,Pesticide B,12ml per litre
31,51,2025/01/30 00:00:00,Armyworm,Pesticide A,7ml per litre
32,54,2024/04/15 00:00:00,Armyworm,Insecticide Z,7ml per litre
33,55,2023/12/09 00:00:00,Armyworm,Neem Oil,5ml per litre
34,56,2024/11/05 00:00:00,Cutworms,Insecticide Z,17ml per litre
35,57,2023/06/05 00:00:00,Aphids,Pesticide B,9ml per litre
36,59,2024/11/13 00:00:00,Aphids,Neem Oil,7ml per litre
37,60,2024/06/19 00:00:00,Weevils,Pesticide A,18ml per litre
38,63,2024/08/01 00:00:00,Armyworm,Neem Oil,9ml per litre
