SoilTestID,FarmID,TestDate,PH,Nitrogen,Phosphorus,Potassium,Moisture
1,1,2023/08/14 00:00:00,5;5,22;49,16;06,19;58,14;9
2,2,2024/04/27 00:00:00,5;7,16;72,6;87,15;51,15;1
3,3,2024/09/25 00:00:00,5;9,28;71,12;28,26;49,13;8
4,4,2024/03/23 00:00:00,6;7,17;66,6;51,29;51,14;9
5,5,2024/06/10 00:00:00,5;6,11;98,18;96,28;43,19;8
6,6,2024/02/24 00:00:00,6;7,26;22,11;72,18;54,13;5
7,7,2024/09/27 00:00:00,5;9,29;77,14;11,27;93,19;9
8,8,2024/03/06 00:00:00,6;4,28;07,18;27,28;89,20;2
9,9,2023/08/11 00:00:00,7;3,25;68,8;12,14;78,24;4
10,10,2024/03/08 00:00:00,7;0,22;43,8;48,18;82,15;8
11,11,2024/08/17 00:00:00,6;9,12;32,16;66,16;81,11;7
12,12,2024/09/09 00:00:00,7;2,24;86,12;10,25;04,10;8
13,13,2023/03/08 00:00:00,5;8,11;41,12;87,18;98,21;8
14,14,2023/01/11 00:00:00,7;0,16;53,6;85,10;82,17;9
15,15,2024/10/19 00:00:00,6;1,15;78,8;49,21;30,17;9
16,16,2023/04/10 00:00:00,5;7,28;01,10;84,14;33,15;2
17,17,2023/03/15 00:00:00,6;4,28;86,9;35,16;27,13;4
18,18,2023/10/08 00:00:00,5;7,17;96,13;80,25;69,16;2
19,19,2024/10/02 00:00:00,7;4,25;52,11;74,25;34,24;8
20,20,2024/10/23 00:00:00,7;1,13;20,10;14,27;79,10;6
21,21,2024/01/08 00:00:00,5;7,21;38,14;04,21;70,17;8
22,22,2023/06/05 00:00:00,6;5,29;05,12;11,12;56,21;0
23,23,2023/12/13 00:00:00,5;7,16;94,9;17,21;39,10;5
24,24,2023/07/23 00:00:00,5;9,19;17,12;64,11;31,22;1
25,25,2024/03/08 00:00:00,6;2,16;32,15;24,26;90,10;5
26,26,2023/07/13 00:00:00,6;1,15;97,9;27,10;67,12;2
27,27,2024/02/09 00:00:00,5;9,27;45,16;53,23;92,18;0
28,28,2023/03/18 00:00:00,5;5,25;63,11;07,11;19,24;7
29,29,2023/05/16 00:00:00,6;9,13;82,16;46,18;33,22;0
30,30,2023/06/26 00:00:00,7;1,26;61,8;99,24;70,12;6
31,31,2024/09/15 00:00:00,6;2,13;74,17;85,28;74,12;2
32,32,2024/10/25 00:00:00,5;7,10;77,17;67,15;05,21;8
33,33,2023/06/25 00:00:00,7;4,24;36,9;77,29;05,23;1
34,34,2024/07/03 00:00:00,6;4,26;86,18;10,23;99,13;0
35,35,2024/06/13 00:00:00,5;7,27;19,15;50,25;89,18;3
36,36,2023/06/05 00:00:00,6;4,27;28,10;07,25;21,13;9
